cols/부착대관리번호,cols/상태 (공통),cols/부착방식,cols/부착대방향,cols/신호등수량,cols/배면등수량,cols/신호등종류,cols/지주관리번호,cols/신호발광구분,cols/작업구분 (공통),cols/표출구분 (공통),cols/신규정규화ID,cols/부착대관리번호.1,cols/이력ID,cols/X좌표,cols/Y좌표,cols/공사형태 (공통),lng,lat,inputaddr,z,hc,cols/부착대길이,cols/고가 (공통),cols/배면등종류,cols/공사관리번호,cols/설치일,cols/제조회사,cols/교체일
03-0000078526,1,2,176,1,0,7,02-0000196386,2,1,2,380625,03-078526,116600,184019.77814,551882.4085,1,126.8191202085954,37.56633986242996,,,,,,,,,,
03-0000005256,1,2,105,1,0,1,02-0000097326,2,2,1,,03-005256,87526,189065.65699,542904.50176,,126.8763678194519,37.48552260744513,,,,1,1,1,2003-1401-003,,,
03-0000011364,1,3,165,2,0,3,02-0000104021,2,6,1,,03-011364,87597,200585.98225,551409.29626,3,127.00663235782815,37.56221551489387,,,,7,1,,2014-0101-030,,,
03-0000069497,1,2,17,1,0,7,02-0000180600,2,6,2,5067632,03-069497,107570,207983.4176,540429.88061,1,127.09023995791618,37.46325625297946,,,,0,0,,2013-1101-019,20140730,,
03-0000007545,1,3,225,2,0,1,02-0000003461,1,4,1,,03-007545,92396,192614.89132,553378.90758,,126.9163928897119,37.57993219793442,,,,5,1,,2008-0201-005,,,
03-0000049555,1,3,149,4,2,1,02-0000150563,2,4,1,,03-049555,92401,192899.02783,554191.00246,,126.9196017390884,37.58725134592819,,,,5,1,1,2007-0501-476,,,
03-0000049567,1,3,244,4,2,1,02-0000150563,2,4,1,,03-049567,92402,192899.02783,554191.00246,,126.9196017390884,37.58725134592819,,,,7,1,21,2007-0501-476,,,
03-0000019470,1,4,152,1,0,12,02-0000062919,1,2,1,,03-019470,92496,206290.85838,551184.10971,,127.07120024161519,37.560165309086706,,,,999,1,,2000-0000-000,,,
03-0000078528,1,2,36,1,0,7,02-0000196380,2,1,2,289972,03-078528,116602,184138.43772,551607.44207,1,126.82046925334467,37.563864487743906,,,,,,,,,,
03-0000049555,1,3,149,4,2,1,02-0000150563,2,4,1,,03-049555,92403,192899.02783,554191.00246,,126.9196017390884,37.58725134592819,,,,5,1,1,2007-0501-476,,,
03-0000019498,1,3,188,2,1,2,02-0000063236,2,1,2,,03-019498,92498,187939.57175,550492.67158,,126.86351097810444,37.55387805010853,,,,7,1,2,2004-0101-052,,,
03-0000044716,1,2,57,2,0,3,02-0000132414,2,2,1,,03-044716,92499,190670.59978,542649.47527,,126.89451774999927,37.48324239632717,,,,6,1,3,2006-0201-008,,,
03-0000046046,1,3,270,2,0,2,02-0000135161,1,4,1,,03-046046,92500,201099.29301,552275.82807,,127.01244349213825,37.57002246244916,,,,7,1,5,2009-0101-053,,,
03-0000019508,1,3,87,2,0,2,02-0000063228,2,1,2,,03-019508,92501,190817.20076,546399.274,,126.89612849153725,37.51702972433768,,,,9,1,,2006-0101-024,,,
03-0000019518,1,2,114,1,0,7,02-0000107687,2,1,2,,03-019518,92502,185916.82928,543693.66625,,126.84074974387521,37.49259039374473,,,,999,1,,2006-0201-026,,,
03-0000078531,1,2,305,1,0,7,02-0000182482,2,1,2,289874,03-078531,116605,184121.97056,551620.12988,1,126.82028259430163,37.56397852031515,,,,,,,,,,
03-0000049567,1,3,244,4,2,1,02-0000150563,2,2,1,,03-049567,92404,192899.02783,554191.00246,,126.9196017390884,37.58725134592819,,,,7,1,1,2007-0501-476,,,
03-0000019554,1,2,76,1,0,7,02-0000062745,2,4,1,,03-019554,92505,197336.87357,546843.64511,,126.96987433531962,37.521075353446896,,,,999,1,,2005-0101-043,,,
03-0000078532,1,2,36,1,0,7,02-0000198889,2,1,2,289875,03-078532,116606,184120.45113,551631.76976,1,126.82026514456693,37.564083368509635,,,,,,,,,,
03-0000049551,1,3,324,4,2,1,02-0000150556,2,4,1,,03-049551,92407,195373.36937,555507.48487,,126.94760827290223,37.59912849744954,,,,7,1,1,2007-0501-476,,0,
03-0000049551,1,3,324,4,2,1,02-0000150556,2,1,2,,03-049551,92408,195373.36937,555507.48487,,126.94760827290223,37.59912849744954,,,,7,1,1,2007-0501-476,,,
03-0000078533,1,2,215,1,0,7,02-0000198890,2,1,2,289973,03-078533,116607,184127.49992,551636.53894,1,126.82034482371633,37.564126459865165,,,,,,,,,,
03-0000049567,1,3,244,4,2,1,02-0000150563,2,2,1,,03-049567,92405,192899.02783,554191.00246,,126.9196017390884,37.58725134592819,,,,7,1,1,2007-0501-476,,,
03-0000049589,1,3,0,4,2,1,02-0000150556,2,2,1,,03-049589,92409,195373.36937,555507.48487,,126.94760827290223,37.59912849744954,,,,5,1,1,2000-0000-000,,,
03-0000019528,1,3,155,2,2,3,02-0000064054,2,1,2,,03-019528,92503,190624.64646,546131.18535,,126.89395382921607,37.51461230429001,,,,9,1,3,2004-0101-130,,,
03-0000049556,1,3,51,2,2,21,02-0000150555,2,4,1,,03-049556,92410,192953.54463,554142.47983,,126.9202194524483,37.58681457975041,,,,7,1,21,2007-0501-476,,0,
03-0000049556,1,3,51,2,0,1,02-0000150555,2,4,1,,03-049556,92411,192953.54463,554142.47983,,126.9202194524483,37.58681457975041,,,,7,1,21,2007-0501-476,,,
