"링크ID(T_LINK_ID)","요일(DAY)","시간(TIME)","날씨(WEATHER)","목적지(DEST)","승차건수(CNT_ON)","하차건수(CNT_OFF)","공차건수(CNT_EMP)"
"T_155933","7","37","1","1156","",7,79
"T_176718","4","21","1","1141","2",,20
"T_190325","5","18","1","1132","",,
"T_161496","2","05","1","1171","1",,547
"T_157211","6","46","1","1165","4",,42
"T_191534","2","44","3","","2",,
"T_161235","7","31","-1","1120","2",,
"T_166149","7","23","1","","1",,142
"T_168922","3","38","1","1120","1",,522
"T_155721","1","23","1","1111","",,370
"T_157885","7","40","-1","1144","",,
"T_170567","3","42","1","","",,
"T_162155","1","02","-1","","4",15,
"T_178364","6","24","-1","1174","",,
"T_158140","3","26","1","1168","1",,
"T_183026","5","15","2","1130","11",1,
"T_152721","3","12","-1","","",,
"T_170414","5","10","-1","1129","2",15,
"T_184838","4","42","2","1162","",2,230
"T_154342","2","44","2","","2",2,
"T_168881","5","43","1","","1",,
"T_193569","7","03","1","1129","",,16
"T_168714","3","37","2","1123","",,
"T_175830","7","18","1","","3",,
"T_168457","5","25","2","1141","2",,
"T_173907","6","20","2","1138","2",,
"T_156725","1","41","1","1141","3",,23
"T_193827","5","06","-1","1165","1",2,
"T_156298","1","08","1","1132","",,2
"T_160860","1","04","1","","1",,
"T_167966","7","02","1","","",,
"T_190744","5","16","2","1114","1",,5
"T_153035","1","34","1","1153","2",,
"T_193109","1","30","1","1111","1",2,
"T_194262","7","28","2","4146","1",10,
"T_185727","5","00","-1","1141","1",49,223
"T_192697","1","14","-1","1129","",,
"T_187078","1","26","2","1144","1",,
"T_159225","3","03","1","1123","",,
"T_171992","2","47","2","1171","",,26
"T_175644","1","37","1","1162","",,
"T_194104","4","16","2","","",,
"T_185645","6","39","1","1159","1",5,
"T_183393","3","44","1","1162","3",,
"T_175700","6","03","1","1111","2",,
"T_175710","3","21","1","1153","",,
"T_156758","5","02","1","","",,
"T_150652","6","15","-1","1126","2",,8
"T_175828","3","35","-1","1114","",4,530
"T_156969","6","20","-1","1114","4",,
"T_193286","5","00","1","1138","1",,
"T_174137","1","37","-1","4113","4",,
"T_174720","7","45","2","","2",,
"T_174350","4","47","1","1171","1",,
"T_162049","7","11","-1","1135","10",1,96
"T_157839","2","43","1","","8",,
"T_153358","6","22","1","1114","",,36
"T_193584","3","41","1","1156","1",,
"T_192174","6","47","-1","4117","11",3,
"T_179570","1","45","-1","","2",,
"T_166719","6","03","1","1126","",,
"T_181191","5","42","-1","1162","14",5,
"T_195186","7","01","3","","1",,
"T_163818","2","43","1","1153","1",,
"T_195339","6","23","-1","1154","1",,
"T_178097","3","29","2","1135","2",,
"T_159938","4","39","-1","1114","1",,
"T_151328","4","04","1","","2",1,
"T_181308","3","38","1","","1",,
"T_169767","1","01","-1","","",,
"T_191923","1","36","1","1129","",,
"T_172990","1","30","-1","","51",2,363
"T_194201","2","22","1","1154","",,19
"T_153512","2","04","-1","1159","",20,
"T_158244","1","10","1","1174","2",,
"T_165629","1","00","1","","",,
"T_189265","6","39","-1","","",26,
"T_189417","2","39","-1","1123","",,
