,Unnamed: 0,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
8827,8858,0,1,27,1,2,183,4,4,4,4,5,4,4,5,4,3,4,3,4,5,0,7.0,0
3588,3601,1,0,22,1,0,829,2,3,3,2,1,3,1,1,1,3,3,3,3,1,4,4.0,0
1011,1017,0,0,23,1,2,1020,4,5,4,1,4,4,4,4,3,4,5,3,5,4,0,0.0,1
7212,7237,1,0,21,1,0,1028,4,4,4,5,3,4,3,3,3,3,2,5,4,3,0,0.0,1
5025,5044,1,1,67,0,0,626,3,4,3,3,4,4,4,2,2,3,2,5,2,3,0,0.0,0
8452,8482,0,1,56,1,2,308,1,1,1,1,2,5,5,5,5,4,5,3,5,5,0,1.0,1
3704,3717,0,1,44,0,0,819,3,0,3,2,3,3,3,3,3,3,5,5,5,3,28,22.0,0
2492,2503,0,1,37,0,0,1154,2,4,2,4,4,2,4,4,2,2,2,1,4,4,20,41.0,0
6116,6136,1,0,57,1,0,665,4,4,4,3,2,4,1,2,4,5,4,3,3,2,37,91.0,0
8335,8365,0,1,45,1,2,1096,4,4,4,4,3,4,4,5,5,5,5,4,5,5,0,0.0,1
4029,4046,0,1,51,1,0,1269,4,1,1,1,4,4,4,4,4,5,3,1,3,4,85,88.0,0
2053,2061,1,1,68,0,0,813,2,4,2,3,3,3,3,2,2,2,2,1,2,4,1,0.0,0
6159,6179,1,1,43,1,2,2133,5,2,5,5,3,4,5,3,3,3,3,5,3,4,0,0.0,1
8754,8785,1,1,47,1,2,2981,2,5,1,1,3,4,3,2,2,2,2,4,2,1,15,0.0,0
6821,6844,0,1,20,0,0,829,3,4,3,4,2,3,2,2,3,2,5,5,4,2,24,10.0,0
4090,4107,1,0,19,1,0,402,2,2,2,4,1,2,1,1,2,5,4,3,3,1,9,8.0,0
9754,9789,1,1,45,1,0,989,4,5,5,5,3,2,1,4,4,4,4,3,4,4,0,21.0,1
5155,5175,0,1,69,0,0,601,4,5,4,2,3,4,3,3,2,2,5,2,5,3,0,1.0,0
2012,2020,0,1,65,0,0,862,4,5,4,3,3,4,3,3,4,3,4,4,1,3,3,0.0,0
6442,6463,0,1,26,0,0,1674,3,5,2,3,5,2,5,5,5,4,2,3,1,5,20,17.0,0
8145,8174,1,1,45,0,0,919,2,5,2,5,5,4,5,3,3,2,3,3,3,5,0,0.0,0
3611,3624,1,1,59,0,0,1172,2,5,2,5,4,5,5,3,3,2,3,5,3,3,0,0.0,0
8470,8500,1,1,41,1,2,3651,3,3,3,3,5,4,5,4,4,4,4,3,4,3,6,1.0,1
8011,8039,1,1,65,0,0,1504,1,5,1,4,2,5,2,2,2,1,2,3,2,4,14,3.0,0
3227,3239,1,0,40,1,2,404,4,4,4,2,4,4,4,4,5,3,4,5,5,4,0,0.0,1
254,254,1,1,67,1,0,463,4,1,5,5,1,5,3,4,4,4,4,4,4,1,0,0.0,1
2641,2652,1,1,70,0,0,404,3,5,4,5,4,3,2,5,5,4,1,5,5,1,9,2.0,0
859,864,0,1,43,1,2,2556,3,3,5,5,1,1,3,3,3,3,3,1,3,4,33,7.0,0
1264,1270,1,1,46,0,2,90,2,5,2,1,5,5,5,5,5,2,5,3,5,4,0,25.0,0
5360,5380,0,0,25,1,0,110,2,3,2,3,4,2,4,4,2,2,2,1,2,4,4,29.0,0
4958,4977,1,1,47,1,2,2407,3,3,3,3,3,4,5,4,4,4,4,5,4,4,0,0.0,1
619,620,0,1,39,1,2,406,5,5,5,5,2,5,5,4,4,4,4,1,4,3,0,0.0,1
260,260,1,0,27,1,0,552,2,4,2,4,2,2,2,2,2,5,3,1,5,2,0,1.0,0
3005,3016,1,1,47,1,2,2704,4,4,4,4,3,3,4,4,4,4,4,5,4,5,11,3.0,1
4729,4747,0,1,64,0,0,813,3,2,3,2,4,3,1,4,2,3,1,3,2,4,18,16.0,0
1732,1740,0,1,40,1,0,425,5,5,5,5,5,5,5,5,1,3,2,3,1,5,0,7.0,1
