region,year,male_total,m_0_4,m_5_9,m_10_14,m_15_19,m_20_24,m_25_29,m_30_34,m_35_39,m_40_44,m_45_49,m_50_54,m_55_59,m_60_64,m_65_69,m_70_74,m_75_79,m_80_84,m_85_89,m_90_94,m_95_99,m_100+,female_total,f_0-4,f_5_9,f_10_14,f_15_19,f_20-24,f_25_29,f_30_34,f_35_39,f_40_44,f_45_49,f_50_54,f_55_59,f_60_64,f_65_69,f_70_74,f_75_79,f_80_84,f_85_89,f_90_94,f_95_99,f_100+
Countrywide,2010,25024388,1185171,1276671,1702359,1887106,1640269,1904690,1996843,2223206,2253801,2175217,2034512,1442680,1097443,876025,668424,390363,176319,71387,18570,2923,0,24962090,1113804,1178414,1552958,1665941,1481313,1800483,1916802,2141174,2178528,2094236,2003699,1464463,1146039,1018450,887355,649705,396689,192797,62851,14121,2268
Seoul,2010,5020033,218486,223661,298301,352784,332134,451028,464139,470468,438180,412886,400006,302568,236017,186465,124151,64150,28575,11892,3459,586,0,5123584,206551,209614,274337,316272,328998,460255,453822,453975,436035,421429,430116,325983,253209,198338,147400,99210,62931,31496,10782,2446,385
Busan,2010,1749116,66150,73804,107033,132248,121597,137497,132714,138867,144240,148887,159200,126866,95501,72733,49943,26297,10734,3835,836,120,0,1773127,62474,67951,94771,111945,108639,129722,126940,136500,147858,156760,168453,131847,99457,79478,63940,43667,26572,11981,3360,701,111
Daegu,2010,1241448,53294,63257,90699,105187,91647,90003,90156,103582,111977,110952,102316,73824,54209,41442,30580,17807,7220,2607,588,93,0,1246061,49266,56495,79165,85848,72255,85812,90192,107202,115577,113688,104383,78647,58637,49771,41890,29747,16842,7694,2364,507,79
Incheon,2010,1372352,65915,69892,94150,109315,93793,106074,111015,123758,126593,130524,118044,74785,53676,39410,27746,15871,7380,3321,922,146,0,1355220,62195,65509,86884,99251,87131,100411,104988,119293,126547,125776,111516,72209,53605,44663,37925,27677,17628,8620,2729,577,86
Gwangju,2010,716599,37118,43048,59489,62165,49161,55266,56934,63429,64514,58253,51937,34769,28464,21875,15212,8813,4238,1530,328,53,0,728006,34651,39473,54740,56681,45916,53647,57248,64103,64475,58347,53690,36999,30890,25297,20624,14786,9563,4727,1687,390,72
Daejon,2010,746253,37655,42022,55590,61359,53228,57905,58925,67202,67310,63656,58961,40437,29077,21810,15518,9063,4220,1742,477,87,0,744788,35319,38654,50933,54006,47200,55585,59402,66848,67953,63603,59206,40476,29475,24862,20485,15101,9225,4597,1449,346,63
Ulsan,2010,574495,29008,30786,43938,50695,39967,41887,45104,48731,54753,55920,48854,32808,21486,13969,9014,4750,1936,677,181,30,0,543771,26691,27310,38488,41619,32229,37718,42084,49464,55178,51610,46023,30370,19498,14944,12165,8823,5650,2845,873,163,26
Gyeonggi,2010,5880469,317448,336883,426624,447695,366879,432624,486610,571232,574032,538398,464261,293775,208962,164768,125650,73128,32885,14127,3791,607,0,5795994,300059,314435,394716,406781,344892,414623,478678,559007,554894,500082,429532,285486,218923,192714,163773,116829,71145,35010,11471,2544,400
Gangwon,2010,762688,32607,38179,50639,53866,50734,50758,50713,61070,66313,65761,67889,48133,34639,34560,29593,15183,7195,3584,1060,174,0,752418,30418,34871,46638,47868,40758,42814,47585,56678,60206,61910,65236,47879,37050,40688,37307,25640,16905,8410,2829,628,100
North Chungcheong,2010,775396,37081,40180,53999,58619,50909,55927,56477,64017,68439,66893,63711,44971,32653,29711,25422,15553,6978,2965,742,131,0,763092,34715,36913,49331,50911,43393,49792,52256,60213,64166,61711,60227,44688,33427,35721,33750,26233,15271,7353,2362,578,81
South Chungcheong,2010,1041793,51927,53763,69151,71480,62810,75931,80488,88373,88546,86818,80316,59059,49266,41355,37796,26595,11985,4704,1226,183,0,1018569,48907,50085,63439,64103,57555,64195,70416,78612,77763,76980,75351,58788,50172,50726,50722,41025,23403,11516,3763,909,139
North Jeolla,2010,924786,41457,47665,64830,69343,59706,62976,62913,74697,77556,75243,73107,55489,48930,39148,33106,22533,10929,4026,966,148,0,930620,38650,44368,60183,62981,51958,54731,58066,68918,70991,70205,71314,55692,51110,49018,46608,37831,22783,10393,3815,840,165
South Jeolla,2010,951416,41142,45732,63773,68245,57194,59813,61111,72417,80371,79537,77354,58400,53373,46886,41533,25493,12867,4878,1111,161,0,952270,38825,42231,58876,61061,48050,50244,54139,62385,67074,69558,71868,57030,55126,59736,61206,46006,28886,13982,4682,1102,203
North Gyeongsang,2010,1341420,58703,62921,84959,95286,88982,93235,94595,106763,113916,114037,111704,86061,67789,56952,50306,32438,14861,6050,1615,221,0,1328728,54329,56502,75675,79253,71048,80628,85533,98062,103189,105818,107945,88075,68994,71782,71404,55031,32781,16000,5392,1122,165
South Gyeongsang,2010,1643315,82331,87576,117229,126574,104470,115182,124936,143638,150573,143068,135192,95922,70898,54538,44838,27726,12693,4721,1060,137,0,1623075,76825,78688,104653,107216,86230,102699,116585,136047,142419,134431,128370,95382,73465,68916,67064,52855,31630,14713,3916,853,118
Jeju,2010,282809,14849,17302,21955,22245,17058,18584,20013,24962,26488,24384,21660,14813,12503,10403,8016,4963,1623,728,208,46,0,282767,13929,15315,20129,20145,15061,17607,18868,23867,24203,22328,20469,14912,13001,11796,11092,9244,5474,3460,1377,415,75
Countrywide,2011,25139187,1198375,1217765,1632137,1877850,1681991,1800309,2035766,2130605,2304173,2136919,2135459,1571622,1118320,875866,705271,428955,189454,74435,20406,3069,0,25097286,1129572,1127507,1496244,1658457,1517168,1693047,1955250,2052736,2249436,2025779,2107576,1591415,1168392,1000540,920981,691824,421773,202488,68988,15625,2488
Seoul,2011,4987663,217012,212886,283105,344584,335136,422201,468407,446062,450343,401842,408590,323910,234211,186646,134001,71316,30659,12264,3795,590,0,5101204,205974,199842,261291,308866,331109,431295,461258,432452,452460,401702,437887,350731,251636,200701,155360,105471,65416,32953,11661,2723,416
Busan,2011,1741085,67548,69205,100233,129257,122718,126764,137073,132939,145398,142823,161877,134191,98558,72893,53698,28987,11804,4037,950,116,0,1768223,64083,64326,89639,109414,109505,119112,131075,129248,150230,146679,173066,140056,103591,78821,67444,46352,28171,12702,3760,837,112
Daegu,2011,1238973,53685,59343,85984,103378,93220,85206,90856,98944,112852,107909,107060,79319,57130,40653,32437,19556,7896,2793,651,92,0,1246140,50003,53195,75670,85600,73997,78619,91388,101814,118299,108827,109784,83909,61949,48029,43952,31603,18192,8053,2631,544,82
Incheon,2011,1394059,68486,67613,90398,108157,97890,101392,116140,121032,129846,127382,126226,84191,54311,40878,29802,17648,8043,3374,1067,157,0,1378316,64840,63567,83720,98094,90826,96055,110394,115591,129904,123241,120228,81318,54144,45312,39489,29865,18740,9182,3072,631,103
Gwangju,2011,720804,37448,40833,57204,62702,50644,52052,57785,61704,65772,58806,54689,37201,29047,22288,16603,9503,4446,1645,373,56,0,733273,35008,37484,52998,57034,47051,50532,58187,62159,66372,58322,56810,39272,31790,25140,22040,15784,10102,4863,1848,392,85
Daejon,2011,752323,38299,40384,53394,61181,54504,55327,60517,64777,69618,62056,62040,44616,30025,21959,16587,10041,4537,1842,527,83,0,751615,36078,37397,49120,53791,48439,52698,60560,64692,70741,61107,62716,44760,30551,24566,21260,16306,9961,4807,1591,393,81
Ulsan,2011,579649,29620,29192,41509,50132,41998,39901,47102,46897,54467,55363,52114,35966,22970,14395,9806,5211,2084,687,204,30,0,548536,27459,26126,36750,41029,33527,35570,43431,46753,56224,50519,49203,33595,21043,15017,12696,9385,6014,3039,929,204,23
Gyeonggi,2011,5957036,321101,325149,413677,449948,384324,412826,496690,549052,591542,534923,497439,330849,211117,168267,133422,81282,35795,14588,4313,625,0,5876470,303882,304227,384273,407571,360898,392921,487169,538627,578890,493611,463075,320497,220381,193362,171600,126238,75881,37364,12731,2823,449
Gangwon,2011,766602,32575,35936,49144,54365,52267,48549,50859,58301,66881,64343,70662,54377,33726,33999,30613,17280,7732,3699,1059,192,0,755984,30477,33003,45048,48524,41798,40188,47686,54324,61135,59301,68612,53440,36506,39327,38790,27512,17620,8835,3079,673,106
North Chungcheong,2011,782462,37902,38295,51740,58970,51605,53814,57607,62246,69420,65323,67851,50218,33677,29101,26094,17296,7247,3071,820,150,0,769984,35394,35408,47748,51231,43992,47284,53329,58439,65753,59391,64324,49297,34370,34138,34453,28165,16389,7564,2609,618,88
South Chungcheong,2011,1055801,53376,52066,67402,72560,63694,72184,83440,85774,92974,84448,86069,63931,50779,40744,37988,29053,12818,4981,1280,218,0,1030990,50149,48336,62238,64902,58306,61704,72017,76965,81699,73669,80331,63357,51881,47915,51069,43978,25093,12115,4106,995,165
North Jeolla,2011,927712,41944,45005,62170,69931,60870,59537,63579,71170,79448,74479,76596,58806,49612,39035,34399,24095,11563,4261,1047,153,0,933485,39384,41666,58080,63594,52968,51832,58493,65953,72804,68119,74818,58784,51754,47233,47690,39860,24373,10955,4020,927,178
