epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.8448,1.97588,2.93317,1.84685,0.0108,0.81818,0.10509,0.03568,2.31191,3.44759,2.09811,0.07129,0.00029,0.00029
2,53.6816,1.91814,2.36956,1.8061,0.13834,0.68182,0.29778,0.14484,1.95285,3.18418,1.84263,0.0415783,0.000578318,0.000578318
3,70.2648,1.9221,2.17264,1.76865,0.50865,0.24242,0.35751,0.13809,1.81342,2.65491,1.67939,0.0118548,0.000854756,0.000854756
4,90.1349,1.89445,2.06278,1.72225,0.51654,0.54545,0.50375,0.23042,1.83388,2.04497,1.65353,0.0009406,0.0009406,0.0009406
5,115.461,1.79349,1.92989,1.59628,0.52062,0.48485,0.45754,0.20776,1.81859,2.19951,1.6068,0.0009208,0.0009208,0.0009208
6,139.374,1.76357,1.85683,1.57494,0.84826,0.40909,0.60771,0.21806,1.82902,1.85622,1.56761,0.000901,0.000901,0.000901
7,166.038,1.77889,1.83374,1.60344,0.75931,0.59091,0.6652,0.23524,1.80985,1.71962,1.60338,0.0008812,0.0008812,0.0008812
8,191.954,1.72475,1.72815,1.57479,0.53818,0.51515,0.45967,0.20718,1.70284,1.74175,1.5413,0.0008614,0.0008614,0.0008614
9,216.13,1.72302,1.73133,1.55029,0.64732,0.62121,0.67376,0.29463,1.82775,1.73227,1.63705,0.0008416,0.0008416,0.0008416
10,242.392,1.66028,1.6282,1.51863,0.83934,0.55417,0.71352,0.30539,1.7407,1.68508,1.60034,0.0008218,0.0008218,0.0008218
11,266.498,1.63834,1.61982,1.50265,0.73408,0.54376,0.66512,0.28618,1.73511,1.8389,1.6185,0.000802,0.000802,0.000802
12,292.008,1.59567,1.49628,1.48353,0.58908,0.71212,0.71812,0.27242,1.7708,1.76205,1.63437,0.0007822,0.0007822,0.0007822
13,320.375,1.56862,1.45951,1.45745,0.70026,0.65152,0.7183,0.29025,1.74907,1.54884,1.57047,0.0007624,0.0007624,0.0007624
14,350.501,1.59133,1.46591,1.4797,0.83171,0.60606,0.64416,0.27425,1.80233,1.41507,1.60998,0.0007426,0.0007426,0.0007426
15,382.808,1.57077,1.33838,1.45289,0.57977,0.31818,0.29919,0.13967,1.75475,1.41757,1.59671,0.0007228,0.0007228,0.0007228
16,434.133,1.53063,1.34852,1.41897,0.58395,0.43939,0.36246,0.16789,1.74578,1.44368,1.53565,0.000703,0.000703,0.000703
17,471.178,1.53261,1.35761,1.39962,0.70706,0.39394,0.40201,0.18118,1.82642,1.43174,1.55207,0.0006832,0.0006832,0.0006832
18,514.9,1.497,1.27923,1.40136,0.83856,0.43939,0.44421,0.22275,1.63526,1.32327,1.48428,0.0006634,0.0006634,0.0006634
19,549.176,1.48357,1.31241,1.35716,0.71609,0.48485,0.54869,0.24059,1.73438,1.34323,1.51844,0.0006436,0.0006436,0.0006436
20,585.138,1.41089,1.20961,1.36168,0.63332,0.40909,0.42036,0.2112,1.67696,1.2679,1.49683,0.0006238,0.0006238,0.0006238
21,625.139,1.42008,1.19818,1.34779,0.75537,0.28788,0.30481,0.14651,1.713,1.29751,1.52206,0.000604,0.000604,0.000604
22,660.861,1.34956,1.12665,1.30369,0.61373,0.54545,0.55912,0.25718,1.77475,1.29685,1.53667,0.0005842,0.0005842,0.0005842
23,699.635,1.40948,1.15924,1.31621,0.73971,0.4697,0.5665,0.25792,1.79409,1.27353,1.55802,0.0005644,0.0005644,0.0005644
24,739.618,1.41298,1.13099,1.31982,0.72971,0.5,0.54245,0.24972,1.79849,1.29246,1.53801,0.0005446,0.0005446,0.0005446
25,774.625,1.36173,1.09904,1.31294,0.88526,0.46765,0.49395,0.19536,1.75282,1.28925,1.51661,0.0005248,0.0005248,0.0005248
