epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.3458,2.3001,2.3537,1.76538,0.09037,0.13636,0.05636,0.01837,2.38192,8.24078,1.89797,0.07129,0.00029,0.00029
2,61.6134,2.21078,1.98025,1.6919,0.21204,0.19697,0.16581,0.06764,1.88155,4.22522,1.59003,0.0415783,0.000578318,0.000578318
3,81.5064,1.97802,1.82966,1.4849,0.39769,0.45455,0.37475,0.15941,2.31343,4.97861,1.70546,0.0118548,0.000854756,0.000854756
4,109.184,1.98579,1.65924,1.58218,0.36417,0.34848,0.31168,0.11243,2.14562,2.58296,1.70765,0.0009406,0.0009406,0.0009406
5,138.986,1.88943,1.56528,1.51659,0.41715,0.42294,0.29537,0.09234,2.07539,2.09318,1.62904,0.0009208,0.0009208,0.0009208
6,171.234,1.9298,1.5557,1.45826,0.62072,0.43939,0.50333,0.20205,2.05506,1.70424,1.60658,0.000901,0.000901,0.000901
7,202.948,1.85838,1.48321,1.44297,0.57486,0.36885,0.36988,0.17821,1.98946,1.5222,1.46341,0.0008812,0.0008812,0.0008812
8,238.861,1.74885,1.371,1.35574,0.61013,0.63636,0.63442,0.23362,1.95712,1.67389,1.54337,0.0008614,0.0008614,0.0008614
9,273.214,1.74512,1.41902,1.39326,0.57842,0.68182,0.63219,0.23814,2.08788,1.3753,1.62248,0.0008416,0.0008416,0.0008416
10,299.712,1.76831,1.30399,1.44088,0.67016,0.62121,0.62515,0.26359,1.92831,1.51828,1.52969,0.0008218,0.0008218,0.0008218
11,330.137,1.7109,1.26143,1.38221,0.69288,0.60606,0.62789,0.23611,1.95605,1.48437,1.53553,0.000802,0.000802,0.000802
12,361.256,1.64512,1.26174,1.37733,0.66922,0.65152,0.67713,0.29118,1.89756,1.4594,1.53586,0.0007822,0.0007822,0.0007822
13,403.151,1.59315,1.26664,1.35446,0.59367,0.69697,0.67528,0.27791,1.93085,1.27411,1.48352,0.0007624,0.0007624,0.0007624
14,437.28,1.66304,1.18963,1.35003,0.59224,0.68182,0.6858,0.26221,1.91345,1.52444,1.49044,0.0007426,0.0007426,0.0007426
15,465.287,1.62277,1.10048,1.34698,0.74469,0.57576,0.69562,0.28635,1.91933,1.39227,1.47583,0.0007228,0.0007228,0.0007228
16,490.787,1.60892,1.07109,1.32259,0.73383,0.65152,0.70948,0.28466,1.96079,1.29212,1.49665,0.000703,0.000703,0.000703
17,518.233,1.60722,1.10147,1.28618,0.66787,0.60606,0.62067,0.23718,1.90607,1.35682,1.44011,0.0006832,0.0006832,0.0006832
18,560.941,1.61227,1.0396,1.30029,0.72944,0.68182,0.71415,0.29408,1.8635,1.13535,1.44844,0.0006634,0.0006634,0.0006634
19,594.662,1.54431,1.12965,1.24911,0.88412,0.69697,0.78666,0.33526,1.88286,1.18738,1.50639,0.0006436,0.0006436,0.0006436
20,635.721,1.50295,1.02077,1.2825,0.74247,0.69895,0.75349,0.33917,1.93847,1.30062,1.596,0.0006238,0.0006238,0.0006238
21,667.572,1.43822,1.00554,1.25344,0.74357,0.74242,0.75259,0.34936,1.92745,1.2121,1.53764,0.000604,0.000604,0.000604
22,703.179,1.43487,0.8937,1.22441,0.80533,0.62121,0.6903,0.36049,1.73732,1.13669,1.44867,0.0005842,0.0005842,0.0005842
23,756.498,1.5122,0.97326,1.22772,0.8915,0.56061,0.67447,0.31277,1.89177,1.18806,1.55285,0.0005644,0.0005644,0.0005644
24,792.782,1.43776,0.92474,1.19883,0.73847,0.72727,0.75988,0.34992,1.72727,1.05015,1.4368,0.0005446,0.0005446,0.0005446
25,818.735,1.41796,0.91522,1.21213,0.80552,0.75758,0.8431,0.38176,1.73914,1.00155,1.4237,0.0005248,0.0005248,0.0005248
26,854.855,1.36233,0.88152,1.17157,0.92288,0.72526,0.81953,0.34752,1.8248,1.06344,1.45751,0.000505,0.000505,0.000505
27,887.816,1.35752,0.84997,1.17072,0.83803,0.70562,0.79085,0.33605,1.92234,1.12789,1.49108,0.0004852,0.0004852,0.0004852
28,919.333,1.34218,0.83654,1.14345,0.81232,0.71212,0.78989,0.33162,1.8554,1.1435,1.47188,0.0004654,0.0004654,0.0004654
29,954.413,1.31118,0.82615,1.13848,0.77191,0.77273,0.80848,0.35686,1.78667,1.05974,1.45594,0.0004456,0.0004456,0.0004456
30,986.95,1.25411,0.78772,1.13387,0.84309,0.71212,0.7804,0.36583,1.96966,1.03217,1.54418,0.0004258,0.0004258,0.0004258
31,1014.06,1.2325,0.80794,1.12573,0.87485,0.74145,0.80133,0.34724,1.9669,1.08268,1.50556,0.000406,0.000406,0.000406
32,1046.79,1.25859,0.7526,1.12969,0.78725,0.72888,0.77805,0.33829,1.81612,1.00894,1.41451,0.0003862,0.0003862,0.0003862
33,1080.07,1.30318,0.76429,1.1425,0.81326,0.79186,0.81809,0.3695,1.77008,0.92246,1.40263,0.0003664,0.0003664,0.0003664
34,1102.45,1.25368,0.75167,1.10619,0.86932,0.72727,0.83782,0.36996,1.74595,0.95917,1.37102,0.0003466,0.0003466,0.0003466
35,1132.5,1.21806,0.73883,1.13133,0.82579,0.72727,0.83904,0.36632,1.80055,0.98796,1.39796,0.0003268,0.0003268,0.0003268
36,1159.84,1.16609,0.68636,1.09103,0.78486,0.84848,0.82311,0.36168,1.8155,0.99768,1.43079,0.000307,0.000307,0.000307
37,1191.17,1.19767,0.71706,1.11124,0.87927,0.83333,0.83466,0.3659,1.77923,0.94686,1.4432,0.0002872,0.0002872,0.0002872
