"행정구역","2026년05월_총인구수","2026년05월_세대수","2026년05월_세대당 인구","2026년05월_남자 인구수","2026년05월_여자 인구수","2026년05월_남여 비율"
"전국  (1000000000)","51,095,330","24,453,776","          2.09","25,421,186","25,674,144","          0.99"
"서울특별시  (1100000000)","9,295,082","4,523,540","          2.05","4,475,263","4,819,819","          0.93"
"부산광역시  (2600000000)","3,234,293","1,581,640","          2.04","1,571,268","1,663,025","          0.94"
"대구광역시  (2700000000)","2,349,305","1,121,169","          2.10","1,150,137","1,199,168","          0.96"
"인천광역시  (2800000000)","3,058,623","1,411,730","          2.17","1,527,097","1,531,526","          1.00"
"광주광역시  (2900000000)","1,386,379","661,924","          2.09","683,811","702,568","          0.97"
"대전광역시  (3000000000)","1,442,213","704,056","          2.05","718,270","723,943","          0.99"
"울산광역시  (3100000000)","1,087,466","501,310","          2.17","560,750","526,716","          1.06"
"세종특별자치시  (3600000000)","391,064","166,030","          2.36","194,820","196,244","          0.99"
"경기도  (4100000000)","13,755,126","6,166,580","          2.23","6,905,139","6,849,987","          1.01"
"강원특별자치도  (5100000000)","1,507,237","774,052","          1.95","758,235","749,002","          1.01"
"충청북도  (4300000000)","1,600,216","806,188","          1.98","815,981","784,235","          1.04"
"충청남도  (4400000000)","2,138,517","1,070,623","          2.00","1,098,485","1,040,032","          1.06"
"전북특별자치도  (5200000000)","1,719,420","873,097","          1.97","857,074","862,346","          0.99"
"전라남도  (4600000000)","1,774,082","915,599","          1.94","896,678","877,404","          1.02"
"경상북도  (4700000000)","2,496,706","1,302,363","          1.92","1,264,457","1,232,249","          1.03"
"경상남도  (4800000000)","3,196,632","1,556,738","          2.05","1,612,493","1,584,139","          1.02"
"제주특별자치도  (5000000000)","662,969","317,137","          2.09","331,228","331,741","          1.00"
